iter	Accuracy	MultiClass
0	0.6975	1.718789556
1	0.742	1.64840332
2	0.7995	1.598156355
3	0.795	1.546056238
4	0.7955	1.48950282
5	0.82	1.437774587
6	0.818	1.391480471
7	0.825	1.347830326
8	0.824	1.313375016
9	0.8235	1.279124607
10	0.8255	1.246559859
11	0.828	1.20917091
12	0.8335	1.184327521
13	0.8355	1.160236277
14	0.8415	1.129319091
15	0.8425	1.105846821
16	0.8455	1.079953824
17	0.8445	1.060781956
18	0.8455	1.035247187
19	0.8485	1.017623314
20	0.851	0.999340416
21	0.8535	0.9747353251
22	0.8585	0.9519920273
23	0.858	0.9368988276
24	0.861	0.9169135138
25	0.861	0.9023049546
26	0.861	0.8860269489
27	0.866	0.8685999374
28	0.868	0.8495353746
29	0.8715	0.8398199041
30	0.877	0.8168652294
31	0.879	0.804615574
32	0.884	0.787881228
33	0.8895	0.7711319575
34	0.8875	0.7625288361
35	0.89	0.7502733761
36	0.891	0.7399829186
37	0.8925	0.7304464997
38	0.896	0.7191863154
39	0.8975	0.7115319918
40	0.8995	0.7029159651
41	0.9	0.6958088266
42	0.9005	0.687323185
43	0.9025	0.680225228
44	0.901	0.6769304247
45	0.903	0.6694238675
46	0.905	0.661828584
47	0.906	0.6545862014
48	0.907	0.6422022144
49	0.9085	0.6298947873
50	0.909	0.6246096114
51	0.908	0.6208720636
52	0.908	0.614399149
53	0.9075	0.6092361303
54	0.911	0.5984103109
55	0.911	0.5927842823
56	0.9115	0.5863241897
57	0.9135	0.5812831347
58	0.914	0.5760214446
59	0.915	0.5693986726
60	0.9145	0.5652215259
61	0.916	0.5597771904
62	0.9165	0.5548444625
63	0.917	0.5497075652
64	0.917	0.5446204761
65	0.916	0.5412915339
66	0.915	0.5370539021
67	0.9175	0.527077114
68	0.921	0.5196309197
69	0.921	0.515613186
70	0.9245	0.5117295508
71	0.9235	0.5090962284
72	0.9235	0.5055586561
73	0.922	0.5032083878
74	0.922	0.4992507049
75	0.9245	0.4954231846
76	0.9255	0.4880901755
77	0.925	0.4844727929
78	0.9265	0.4822752661
79	0.9285	0.479640501
80	0.9295	0.4755533333
81	0.9295	0.4724305447
82	0.9315	0.4671056715
83	0.9335	0.4630010918
84	0.935	0.4602862539
85	0.938	0.4543953148
86	0.9385	0.4518713667
87	0.9395	0.4495345024
88	0.9405	0.4448186252
89	0.939	0.4411216757
90	0.94	0.4373199227
91	0.942	0.4332582214
92	0.9415	0.4305538375
93	0.9415	0.4283654789
94	0.9455	0.4237184507
95	0.945	0.4226150272
96	0.9455	0.4212305472
97	0.945	0.4191834641
98	0.946	0.4168211627
99	0.9465	0.414136206
100	0.946	0.4117159961
101	0.946	0.4114112975
102	0.9455	0.4080314024
103	0.948	0.4055937758
104	0.9495	0.4013749973
105	0.9505	0.3996124641
106	0.9505	0.3973852738
107	0.949	0.3933464973
108	0.949	0.393090042
109	0.9495	0.3914647087
110	0.95	0.3892896912
111	0.95	0.3865693729
112	0.95	0.3842058988
113	0.9515	0.3819974307
114	0.9525	0.3799684977
115	0.9525	0.3799210443
116	0.9545	0.3784433757
117	0.956	0.3771084349
118	0.9555	0.3744651627
119	0.9555	0.3723521536
120	0.9555	0.3704537482
121	0.9555	0.3687818811
122	0.955	0.3649101828
123	0.955	0.3644424694
124	0.955	0.3616635625
125	0.955	0.3611870675
126	0.9565	0.3602513271
127	0.9565	0.358074883
128	0.9575	0.3558596104
129	0.9575	0.3558232882
130	0.9575	0.3526897029
131	0.957	0.3512021236
132	0.957	0.3507160548
133	0.9575	0.3486938312
134	0.957	0.3461593701
135	0.957	0.3451183203
136	0.9575	0.3434650656
137	0.9575	0.343012006
138	0.9575	0.3415561899
139	0.9575	0.3398362256
140	0.9575	0.3386787181
141	0.9575	0.338656314
142	0.958	0.3371076995
143	0.9585	0.3362188634
144	0.959	0.3352562969
145	0.9585	0.3338532583
146	0.9585	0.3325321733
147	0.958	0.331788838
148	0.9575	0.3304918522
149	0.9575	0.3301508743
150	0.9585	0.3288213336
151	0.958	0.3266295764
152	0.959	0.3249579371
153	0.96	0.3230537325
154	0.96	0.3221639927
155	0.9605	0.3212646438
156	0.9605	0.3200928096
157	0.9605	0.3192517302
158	0.96	0.3181040302
159	0.9605	0.3168608586
160	0.9605	0.3160649339
161	0.96	0.3148277964
162	0.96	0.3134358764
163	0.96	0.3130213364
164	0.961	0.3115003018
165	0.9615	0.3105713442
166	0.961	0.3098666639
167	0.961	0.3087746656
168	0.9615	0.3080113142
169	0.9625	0.3059144919
170	0.963	0.3048771409
171	0.9625	0.3039617566
172	0.963	0.3028742104
173	0.963	0.3019307587
174	0.964	0.300707988
175	0.9635	0.2972147151
176	0.9635	0.2944075048
177	0.964	0.2938104245
178	0.9645	0.2924057894
179	0.964	0.2914102738
180	0.9635	0.2893376762
181	0.965	0.2873804709
182	0.965	0.2862815703
183	0.965	0.2860261014
184	0.9665	0.2830055024
185	0.9665	0.2819108781
186	0.967	0.280564805
187	0.9675	0.2799284105
188	0.9685	0.2795364909
189	0.9685	0.2782822616
190	0.9675	0.2767567846
191	0.9675	0.2758544631
192	0.9685	0.2753198768
193	0.969	0.2736259512
194	0.9685	0.2719433593
195	0.969	0.2713108804
196	0.9705	0.2703089078
197	0.97	0.2697846728
