iter	Passed	Remaining
0	18	2802
1	34	2568
2	50	2491
3	65	2381
4	80	2341
5	93	2248
6	109	2243
7	124	2214
8	139	2187
9	154	2165
10	172	2184
11	188	2169
12	204	2156
13	221	2153
14	237	2138
15	254	2130
16	266	2081
17	280	2058
18	294	2031
19	309	2010
20	324	1994
21	340	1980
22	353	1949
23	367	1927
24	381	1906
25	394	1881
26	409	1864
27	424	1850
28	439	1835
29	454	1817
30	469	1802
31	483	1784
32	498	1767
33	513	1752
34	527	1732
35	543	1719
36	557	1703
37	572	1686
38	587	1672
39	602	1657
40	626	1665
41	654	1682
42	677	1686
43	705	1698
44	724	1691
45	758	1714
46	788	1727
47	806	1714
48	834	1719
49	861	1723
50	881	1711
51	897	1690
52	910	1666
53	926	1647
54	940	1624
55	957	1607
56	970	1583
57	984	1561
58	998	1539
59	1012	1519
60	1027	1498
61	1040	1476
62	1055	1457
63	1070	1438
64	1085	1419
65	1099	1398
66	1113	1379
67	1128	1361
68	1144	1343
69	1158	1323
70	1172	1304
71	1185	1284
72	1200	1266
73	1216	1249
74	1232	1232
75	1247	1214
76	1261	1196
77	1276	1178
78	1290	1160
79	1306	1142
80	1321	1126
81	1337	1109
82	1351	1090
83	1366	1073
84	1381	1056
85	1394	1037
86	1410	1021
87	1424	1003
88	1438	986
89	1453	968
90	1466	950
91	1481	933
92	1495	916
93	1508	898
94	1522	881
95	1537	864
96	1551	847
97	1565	830
98	1580	814
99	1594	797
100	1609	780
101	1625	764
102	1640	748
103	1652	730
104	1666	714
105	1682	698
106	1697	681
107	1712	665
108	1727	649
109	1742	633
110	1757	617
111	1772	601
112	1788	585
113	1802	569
114	1817	553
115	1831	536
116	1846	520
117	1859	504
118	1874	488
119	1889	472
120	1903	456
121	1918	440
122	1931	424
123	1945	407
124	1959	391
125	1974	376
126	1988	360
127	2003	344
128	2016	328
129	2031	312
130	2045	296
131	2060	280
132	2072	264
133	2085	249
134	2101	233
135	2115	217
136	2128	201
137	2143	186
138	2158	170
139	2172	155
140	2187	139
141	2201	124
142	2214	108
143	2229	92
144	2242	77
145	2257	61
146	2271	46
147	2283	30
148	2297	15
149	2310	0
